InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,ZipCode,Married,ReturnRate,Age,Income,Work,Edcation
536569,22639,SET OF 4 NAPKIN CHARMS HEARTS,1,2020-12-01T15:35,2.55,16274,19128,0,0,26,66,6,1
536569,21818,GLITTER CHRISTMAS HEART ,1,2020-12-01T15:35,0.85,16274,22205,1,0.521711161,89,126,3,2
536569,21591,COSY HOUR CIGAR BOX MATCHES ,2,2020-12-01T15:35,1.25,16274,22601,1,0,24,62,7,3
536570,22113,GREY HEART HOT WATER BOTTLE,36,2020-12-01T15:35,3.39,14496,19038,0,0.115255875,61,49,9,3
536576,22095,LADS ONLY TISSUE BOX,72,2020-12-01T16:11,1.25,13777,20132,1,0.016167315,40,36,5,1
536582,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2020-12-01T16:21,1.25,12947,23233,0,0.082150859,92,55,11,3
536592,22182,CAKE STAND VICTORIAN FILIGREE SMALL,1,2020-12-01T17:06,4.21,NA,22315,0,1,46,111,7,1
536592,22553,PLASTERS IN TIN SKULLS,1,2020-12-01T17:06,3.36,NA,22207,0,0.101254678,71,141,2,2
536592,22580,ADVENT CALENDAR GINGHAM SACK,1,2020-12-01T17:06,11.87,NA,21090,1,0.108982546,26,82,4,3
536592,82582,AREA PATROLLED METAL SIGN,1,2020-12-01T17:06,4.21,NA,22302,1,0,80,75,8,3
536592,85099B,JUMBO BAG RED RETROSPOT,1,2020-12-01T17:06,4.21,NA,19053,1,0,27,89,8,2
536592,22183,CAKE STAND VICTORIAN FILIGREE MED,2,2020-12-01T17:06,5.91,NA,20723,0,0,74,165,6,1
536592,22198,LARGE POPCORN HOLDER ,2,2020-12-01T17:06,3.36,NA,22066,0,0.515651857,80,46,8,3
536592,22600,CHRISTMAS RETROSPOT STAR WOOD,2,2020-12-01T17:06,1.66,NA,20136,1,0.036276025,61,108,5,3
536595,21137,BLACK RECORD COVER FRAME,60,2020-12-01T17:24,3.39,13576,8873,0,0,52,111,6,3
536596,84926A,WAKE UP COCKEREL TILE COASTER,4,2020-12-01T17:29,1.25,NA,22003,0,0,81,87,9,3
536598,21422,PORCELAIN ROSE SMALL,16,2020-12-02T07:48,0.85,13090,20854,1,0.197140962,53,144,2,1
536605,21042,RED RETROSPOT APRON ,3,2020-12-02T08:52,5.95,13715,21122,0,0,27,75,8,3
536613,22652,TRAVEL SEWING KIT,10,2020-12-02T09:44,1.65,17855,22182,0,0.197569718,79,142,6,1
536618,22952,60 CAKE CASES VINTAGE CHRISTMAS,48,2020-12-02T10:17,0.55,17017,21122,0,0.256140772,73,159,10,1
536624,22549,PICTURE DOMINOES,12,2020-12-02T10:45,1.45,13418,20910,1,0.174887892,68,160,11,3
536628,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2020-12-02T10:54,1.06,17850,22554,0,0,79,107,7,1
536630,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2020-12-02T10:56,6.95,17850,8057,0,0.116529222,66,91,8,1
536632,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2020-12-02T11:02,4.95,14388,21229,1,0.5,61,170,1,2
536633,22917,HERB MARKER ROSEMARY,2,2020-12-02T11:20,0.65,14901,22015,0,0,88,146,9,3
536637,79191C,RETRO PLASTIC ELEPHANT TRAY,1,2020-12-02T11:35,0.85,18041,20118,0,0,41,88,9,3
536637,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2020-12-02T11:35,0.55,18041,8055,1,0.127675009,97,135,5,3
536637,22654,DELUXE SEWING KIT ,1,2020-12-02T11:35,5.95,18041,22124,1,0,31,86,4,3
536637,84692,BOX OF 24 COCKTAIL PARASOLS,1,2020-12-02T11:35,0.42,18041,22182,0,0.03943852,47,102,6,2
536637,22696,WICKER WREATH LARGE,1,2020-12-02T11:35,1.95,18041,7728,1,0.13414087,28,149,10,1
536637,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2020-12-02T11:35,9.95,18041,8648,0,0.677484787,89,157,7,2
536638,22637,PIGGY BANK RETROSPOT ,6,2020-12-02T11:41,2.55,16244,21158,0,0.165419491,23,54,11,1
536643,85099B,JUMBO BAG RED RETROSPOT,2,2020-12-02T11:57,1.95,14390,22903,0,0.082219251,67,163,4,1
536643,22634,CHILDS BREAKFAST SET SPACEBOY ,2,2020-12-02T11:57,9.95,14390,19010,1,0.192305242,89,39,1,2
536663,22632,HAND WARMER RED RETROSPOT,24,2020-12-02T12:07,2.1,16546,20855,0,0,49,71,1,2
536667,79321,CHILLI LIGHTS,4,2020-12-02T12:09,4.95,15260,8406,1,0.319493713,66,157,6,3
536674,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,32,2020-12-02T12:16,0.65,15923,21228,0,0.232037691,34,94,5,1
536676,22168,ORGANISER WOOD ANTIQUE WHITE ,2,2020-12-02T12:18,8.5,16752,22191,0,0,89,97,5,1
536681,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2020-12-02T12:22,1.65,17287,21228,0,0,34,151,7,2
536690,37370,RETRO COFFEE MUGS ASSORTED,6,2020-12-02T12:25,1.06,17850,20151,1,0.895261566,98,105,2,1
536707,22215,CAKE STAND WHITE TWO TIER LACE,2,2020-12-02T12:33,8.5,12915,22101,1,0.248990173,63,113,11,2
536742,21931,JUMBO STORAGE BAG SUKI,1,2020-12-02T13:14,1.95,16916,22205,0,1,99,98,9,3
536742,22974,CHILDRENS DOLLY GIRL MUG,1,2020-12-02T13:14,1.65,16916,21228,1,1.133333333,78,107,5,1
536743,85135B,BLUE DRAGONFLY HELICOPTER,1,2020-12-02T13:32,7.95,17964,20002,1,0.292180846,71,103,2,2
536749,90186A,AMETHYST HOOP EARRING FLORAL LEAF,1,2020-12-02T13:49,2.95,17976,21030,1,0,35,130,5,1
536749,22472,TV DINNER TRAY DOLLY GIRL,1,2020-12-02T13:49,4.95,17976,21401,0,0,51,135,5,1
536752,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2020-12-02T14:06,3.39,17850,21076,1,0,85,72,4,3
536754,22197,SMALL POPCORN HOLDER,3,2020-12-02T14:09,0.85,14449,20175,1,0,40,162,10,2
536756,22325,MOBILE VINTAGE HEARTS ,1,2020-12-02T14:23,4.95,NA,19020,0,0,21,150,5,1
536762,22961,JAM MAKING SET PRINTED,12,2020-12-02T14:40,1.45,16186,19047,1,0,70,59,8,3
536783,22752,SET 7 BABUSHKA NESTING BOXES,96,2020-12-02T15:19,7.65,15061,20814,1,0.043223605,42,150,4,2
536785,22659,LUNCH BOX I LOVE LONDON,128,2020-12-02T15:22,1.65,15061,21230,1,0,47,59,2,3
536790,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2020-12-02T15:26,2.55,17850,22554,1,0.128226759,46,93,10,2
536796,21587,COSY HOUR GIANT TUBE MATCHES,5,2020-12-02T15:46,2.55,15574,20853,0,0.047004945,50,175,3,1
536796,20668,DISCO BALL CHRISTMAS DECORATION,10,2020-12-02T15:46,0.12,15574,20191,0,0.230425056,96,108,11,3
536798,22424,ENAMEL BREAD BIN CREAM,4,2020-12-02T15:55,12.75,17838,22003,0,0,44,90,9,2
536798,82578,KITCHEN METAL SIGN,12,2020-12-02T15:55,0.55,17838,8050,0,0,83,131,2,3
536813,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2020-12-02T16:59,2.95,15646,21114,1,0,36,122,7,1
536819,22427,ENAMEL FLOWER JUG CREAM,3,2020-12-02T17:12,5.95,13402,20878,0,3.563636364,90,126,11,2
536819,22429,ENAMEL MEASURING JUG CREAM,4,2020-12-02T17:12,4.25,13402,19096,1,0.182829283,66,168,10,1
536819,21063,PARTY INVITES JAZZ HEARTS,12,2020-12-02T17:12,0.85,13402,7726,1,0.227674659,70,139,2,3
536819,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2020-12-02T17:12,0.55,13402,8215,1,0,25,74,1,1
536845,22384,LUNCH BAG PINK POLKADOT,1,2020-12-02T19:18,1.65,17961,23113,0,0.02090784,68,119,3,1
536845,21530,DAIRY MAID TOASTRACK,1,2020-12-02T19:18,2.95,17961,21771,0,0,50,94,5,3
536845,20725,LUNCH BAG RED RETROSPOT,1,2020-12-02T19:18,1.65,17961,8096,0,0.098880597,95,167,3,1
536846,20975,12 PENCILS SMALL TUBE RED RETROSPOT,6,2020-12-02T19:59,0.65,14573,22405,1,0.090082386,55,118,6,2
536851,20749,ASSORTED COLOUR MINI CASES,12,2020-12-03T09:49,7.95,12967,22043,0,0.155015798,92,85,6,2
536856,22621,TRADITIONAL KNITTING NANCY,12,2020-12-03T10:26,1.45,13370,20879,1,0,68,110,8,1
536862,22525,CHILDRENS GARDEN GLOVES PINK,1,2020-12-03T11:13,3.36,NA,19130,1,0.514768967,25,99,1,3
536862,85099B,JUMBO BAG RED RETROSPOT,2,2020-12-03T11:13,4.21,NA,22180,1,0,77,79,4,1
536862,20658,RED RETROSPOT LUGGAGE TAG,3,2020-12-03T11:13,2.51,NA,7728,1,1,36,41,9,2
536865,71053,WHITE METAL LANTERN,1,2020-12-03T11:28,8.47,NA,22315,1,1,84,41,7,3
536874,22914,BLUE COAT RACK PARIS FASHION,1,2020-12-03T11:35,4.95,16891,20187,1,0,54,43,10,1
536876,22109,FULL ENGLISH BREAKFAST PLATE,1,2020-12-03T11:36,7.62,NA,22301,0,0,39,146,4,2
536876,22735,RIBBON REEL SOCKS AND MITTENS,1,2020-12-03T11:36,3.36,NA,21060,0,0.568281938,66,75,2,1
536876,82600,NO SINGING METAL SIGN,1,2020-12-03T11:36,4.21,NA,22182,0,0,30,163,4,2
536876,85055,FRENCH ENAMEL UTENSIL HOLDER,1,2020-12-03T11:36,7.62,NA,19010,1,0,75,37,7,1
536876,85135B,BLUE DRAGONFLY HELICOPTER,1,2020-12-03T11:36,8.47,NA,23185,1,0.269158292,99,67,5,1
536876,90214L,"LETTER ""L"" BLING KEY RING",2,2020-12-03T11:36,0.85,NA,20815,1,0.630252101,98,99,6,2
536876,22962,JAM JAR WITH PINK LID,4,2020-12-03T11:36,1.66,NA,8030,0,0,97,130,4,2
536876,21231,SWEETHEART CERAMIC TRINKET BOX,5,2020-12-03T11:36,2.51,NA,20874,0,0,78,48,2,3
536947,22468,BABUSHKA LIGHTS STRING OF 10,4,2020-12-03T12:29,6.75,13013,21044,1,0,30,75,2,3
536975,22946,WOODEN ADVENT CALENDAR CREAM,2,2020-12-03T14:04,16.95,14911,8077,0,0,38,106,1,3
536975,22585,PACK OF 6 BIRDY GIFT TAGS,12,2020-12-03T14:04,1.25,14911,8054,1,0,94,146,6,1
536975,84559B,3D SHEET OF CAT STICKERS,12,2020-12-03T14:04,0.85,14911,20855,1,0.132292444,94,166,6,1
536975,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,2020-12-03T14:04,0.85,14911,8055,0,0.20016206,21,37,9,3
536980,22697,GREEN REGENCY TEACUP AND SAUCER,48,2020-12-03T14:26,2.55,17819,8302,1,0.01306008,24,105,11,2
536981,21623,VINTAGE UNION JACK MEMOBOARD,1,2020-12-03T14:26,9.95,14723,8033,1,0.325781694,65,121,4,1
536982,21242,RED RETROSPOT PLATE ,1,2020-12-03T14:27,4.21,NA,21228,0,0,90,165,5,2
536982,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2020-12-03T14:27,8.47,NA,8540,1,0.154355916,65,116,9,2
536982,22147,FELTCRAFT BUTTERFLY HEARTS,2,2020-12-03T14:27,4.21,NA,20120,0,0,71,138,9,2
536982,47559b,TEA TIME OVEN GLOVE,5,2020-12-03T14:27,3.36,NA,8721,0,0.565819861,56,90,6,1
536982,20966,SANDWICH BATH SPONGE,6,2020-12-03T14:27,2.51,NA,22046,1,0.171935663,78,53,11,2
536982,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,13,2020-12-03T14:27,3.36,NA,23233,0,0,70,67,3,2
536984,21558,SKULL LUNCH BOX WITH CUTLERY ,2,2020-12-03T14:35,2.55,17841,20854,0,0,37,75,6,2
536987,22396,MAGNETS PACK OF 4 RETRO PHOTO,1,2020-12-03T14:54,1.25,17198,20164,1,0,71,95,11,1
536989,22150,3 STRIPEY MICE FELTCRAFT,1,2020-12-03T15:10,1.95,17238,21122,0,1,53,164,7,1
536993,22865,HAND WARMER OWL DESIGN,1,2020-12-03T15:19,2.1,14396,22314,1,0,75,150,11,2
537028,21696,,320,2020-12-03T16:36,1,NA,21230,0,0,86,90,9,2
537041,21876,POTTERING MUG,1,2020-12-05T10:36,1.25,16033,18940,0,0,32,111,3,3
537042,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2020-12-05T10:45,7.95,13838,22032,1,0.330998071,83,159,8,2
537045,90175C,BLUE GLASS CHUNKY CHARM BRACELET,1,2020-12-05T10:54,8.95,15038,19010,0,0,49,98,9,3
537045,22296,HEART IVORY TRELLIS LARGE,1,2020-12-05T10:54,1.65,15038,21014,1,0,43,54,2,3
537045,22458,CAST IRON HOOK GARDEN FORK,1,2020-12-05T10:54,2.55,15038,8742,0,0.102827764,57,74,6,2
537047,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,5,2020-12-05T11:02,0.85,13069,21093,0,0,32,50,3,2
537050,21716,BOYS VINTAGE TIN SEASIDE BUCKET,5,2020-12-05T11:10,2.55,14800,22193,0,0,49,171,10,3
537051,22729,ALARM CLOCK BAKELIKE ORANGE,2,2020-12-05T11:12,3.75,15708,20715,1,0,75,120,4,2
537052,22666,RECIPE BOX PANTRY YELLOW DESIGN,48,2020-12-05T11:15,2.55,16839,8083,1,0,24,110,11,1
537059,22867,HAND WARMER BIRD DESIGN,4,2020-12-05T11:54,2.1,14813,19147,0,0.581395349,35,91,10,2
537067,20828,GLITTER BUTTERFLY CLIPS,2,2020-12-05T11:57,2.55,14813,21093,0,0,78,54,1,2
537086,22569,FELTCRAFT CUSHION BUTTERFLY,8,2020-12-05T12:01,3.75,15332,21403,0,0,22,69,3,3
537126,21327,SKULLS WRITING SET ,1,2020-12-05T12:13,1.65,18118,19004,1,0.097378277,36,131,8,1
537128,22190,LOCAL CAFE MUG,1,2020-12-05T12:15,2.1,12841,20007,0,0,97,60,3,1
537128,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,5,2020-12-05T12:15,2.95,12841,21131,0,0,48,51,1,2
537130,22835,HOT WATER BOTTLE I AM SO POORLY,2,2020-12-05T12:23,4.65,17796,20724,0,1,38,128,7,1
537133,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1,2020-12-05T12:29,2.95,18156,21234,1,0,66,102,10,1
537133,22272,FELTCRAFT DOLL MARIA,1,2020-12-05T12:29,2.95,18156,21030,1,0.297004569,50,47,4,1
537135,21621,VINTAGE UNION JACK BUNTING,2,2020-12-05T12:35,8.5,17059,20720,0,0,54,112,8,1
537135,21034,REX CASH+CARRY JUMBO SHOPPER,2,2020-12-05T12:35,0.95,17059,22152,1,0.219066937,79,57,4,2
537135,21479,WHITE SKULL HOT WATER BOTTLE ,3,2020-12-05T12:35,3.75,17059,22601,0,0.101327519,64,52,1,2
537136,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2020-12-05T12:42,0.29,12748,20882,1,0.058742902,25,163,3,2
537137,21422,PORCELAIN ROSE SMALL,3,2020-12-05T12:43,0.85,16327,21108,0,0,96,172,4,2
537138,22795,SWEETHEART RECIPE BOOK STAND,2,2020-12-05T12:44,6.75,17211,18901,1,0,54,162,11,1
537141,22624,IVORY KITCHEN SCALES,1,2020-12-05T12:57,8.5,15570,22030,1,0.031460781,56,117,6,3
537141,22460,EMBOSSED GLASS TEALIGHT HOLDER,6,2020-12-05T12:57,1.25,15570,21076,1,0,38,158,10,3
537141,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,10,2020-12-05T12:57,2.95,15570,21015,0,0,42,41,2,2
537142,82578,KITCHEN METAL SIGN,1,2020-12-05T12:57,0.55,12748,8757,1,0,66,170,1,2
537144,21588,RETROSPOT GIANT TUBE MATCHES,1,2020-12-05T13:00,2.55,15880,22315,1,0.06585613,54,112,8,2
537144,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,1,2020-12-05T13:00,0.65,15880,22911,1,0,95,35,6,3
537153,22816,CARD MOTORBIKE SANTA,48,2020-12-05T13:03,0.42,16718,22701,1,1,65,135,8,2
537154,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2020-12-05T13:05,2.95,15808,20009,0,0.503164557,46,159,8,3
537154,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2020-12-05T13:05,4.95,15808,8091,0,0,73,63,9,1
537156,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2020-12-05T13:08,12.75,17858,22192,0,0,95,112,5,3
537160,21868,POTTING SHED TEA MUG,6,2020-12-05T13:18,1.25,14161,8081,0,0.5,52,67,3,3
537176,22555,PLASTERS IN TIN STRONGMAN,6,2020-12-05T13:26,1.65,16411,8008,1,0,63,65,7,3
537192,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,2020-12-05T13:42,2.95,16402,20165,1,0,43,74,6,2
537193,22457,NATURAL SLATE HEART CHALKBOARD ,12,2020-12-05T13:49,2.95,15023,22102,1,0.027636577,92,145,1,1
537195,84563B,BLUE & WHITE BREAKFAST TRAY,1,2020-12-05T13:55,5.95,15311,21104,0,0.151474786,60,148,4,2
537196,85129B,BEADED CRYSTAL HEART GREEN SMALL,2,2020-12-05T13:55,1.25,15426,20850,1,0,67,38,3,2
537197,22505,MEMO BOARD COTTAGE DESIGN,4,2020-12-05T14:02,4.95,12647,20186,0,0,22,110,7,2
537197,84050,PINK HEART SHAPE EGG FRYING PAN,6,2020-12-05T14:02,1.65,12647,18901,1,0.071376548,36,104,6,3
537199,21811,CHRISTMAS HANGING HEART WITH BELL,1,2020-12-05T14:06,1.25,15894,20904,0,0,33,46,8,1
537199,22156,HEART DECORATION WITH PEARLS ,1,2020-12-05T14:06,0.85,15894,8610,0,0,83,79,7,2
537201,22629,SPACEBOY LUNCH BOX ,36,2020-12-05T14:19,1.95,12472,23185,0,0,37,69,1,2
537202,22274,FELTCRAFT DOLL EMILY,1,2020-12-05T14:25,2.95,14506,20187,0,0.259475219,89,81,2,1
537202,22147,FELTCRAFT BUTTERFLY HEARTS,2,2020-12-05T14:25,1.45,14506,22601,1,0.171510243,46,137,2,2
537202,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2020-12-05T14:25,3.75,14506,21133,0,0.342507645,82,46,2,2
537207,21034,REX CASH+CARRY JUMBO SHOPPER,1,2020-12-05T15:06,0.95,17402,22015,1,0,31,127,3,2
537208,51020A,SUMMER FUN DESIGN SHOWER CAP,1,2020-12-05T15:12,1.25,15889,8540,0,0.018609372,98,93,3,1
537208,21830,ASSORTED CREEPY CRAWLIES,24,2020-12-05T15:12,0.42,15889,22602,0,0,45,95,6,3
537209,21894,POTTING SHED SEED ENVELOPES,1,2020-12-05T15:12,1.25,14606,22554,1,0,55,125,11,3
537212,22624,IVORY KITCHEN SCALES,2,2020-12-05T15:21,8.5,12720,20024,1,0.31949486,26,56,2,1
537212,22963,JAM JAR WITH GREEN LID,12,2020-12-05T15:21,0.85,12720,19446,1,0.179254784,87,113,7,1
537214,21122,SET/10 PINK POLKADOT PARTY CANDLES,288,2020-12-05T15:35,1.06,16422,20016,0,0,27,165,1,1
537219,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2020-12-05T15:47,2.95,14081,21784,0,0.170973534,98,85,2,2
537222,22195,LARGE HEART MEASURING SPOONS,3,2020-12-05T16:00,1.65,14404,8318,1,0.948586118,60,172,6,1
537224,85025C,PINK HEART SHAPE PHOTO FRAME,1,2020-12-05T16:24,1.65,13174,20815,1,0.194528753,32,142,10,2
537224,21202,DOLLY HONEYCOMB GARLAND,1,2020-12-05T16:24,1.65,13174,19010,1,0,35,36,1,3
537224,22603,CHRISTMAS RETROSPOT TREE WOOD,1,2020-12-05T16:24,0.85,13174,21090,0,0.5,24,160,3,2
537224,22113,GREY HEART HOT WATER BOTTLE,2,2020-12-05T16:24,3.75,13174,22042,0,0,40,51,8,1
537224,22110,BIRD HOUSE HOT WATER BOTTLE,3,2020-12-05T16:24,2.55,13174,22026,1,0.091597346,74,127,6,2
537224,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,7,2020-12-05T16:24,0.85,13174,22310,1,0,27,73,7,3
537225,22074,6 RIBBONS SHIMMERING PINKS ,2,2020-12-05T16:41,1.65,12748,22102,1,0.211497266,42,83,2,2
537233,22654,DELUXE SEWING KIT ,6,2020-12-06T09:37,5.95,17428,22314,0,0,65,52,6,3
537237,18098C,PORCELAIN BUTTERFLY OIL BURNER,1,2020-12-06T09:58,5.91,NA,22602,1,0,31,112,7,3
537237,21137,BLACK RECORD COVER FRAME,1,2020-12-06T09:58,7.62,NA,8724,0,0,47,142,1,2
537237,22080,RIBBON REEL POLKADOTS ,1,2020-12-06T09:58,3.36,NA,19130,0,0,26,116,9,2
537237,22310,IVORY KNITTED MUG COSY ,1,2020-12-06T09:58,3.36,NA,22043,0,0,51,64,4,1
537237,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2020-12-06T09:58,4.21,NA,20170,1,0,82,143,10,3
537237,22745,POPPY'S PLAYHOUSE BEDROOM ,2,2020-12-06T09:58,4.21,NA,21035,0,0,50,139,8,2
537238,22469,HEART OF WICKER SMALL,3,2020-12-06T10:03,1.65,16161,7726,0,0.268489631,95,127,3,2
537240,20735,BLACK MINI TAPE MEASURE ,1,2020-12-06T10:08,0.85,NA,21035,0,0,69,173,8,3
537240,22960,JAM MAKING SET WITH JARS,2,2020-12-06T10:08,8.47,NA,8204,0,0.318681319,68,157,11,2
537240,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2020-12-06T10:08,4.21,NA,22181,1,0.65694291,47,46,9,2
